auteur,dans_HAL,dans_OpenAlex
A. Albert,True,True
A. Capone,True,True
A. Coleiro,True,True
A. Creusot,True,True
A. Diaz,True,True
A. Domi,True,True
A. Enzenhöfer,True,True
A. Kappes,True,True
A. Kouchner,True,True
A. Margiotta,True,True
A. Marinelli,True,True
A. Moussa,True,True
A.F. Díaz,True,True
A.J. Heijboer,True,True
Abdelhamid Rabhi,True,True
Abdelilah Hakim,True,True
Abdellah Fourtassi,True,True
Abdellatif Moudafi,True,True
Adeline Paiement,True,True
Adrian Francalanza,True,True
Adrian Łańcucki,True,True
Adrian-Gabriel Chifu,True,True
Afef Cherni,True,True
Alain Pochat,True,True
Alba Martinez Anton,True,True
Aldo Gonzalez-Lorenzo,True,True
Alessia Milani,True,True
Alexandra Bac,True,True
Alexandre Rapetti,True,True
Alexis Jeandet,True,True
Alexis Joly,True,True
Alexis Nasr,True,True
Alice Delbosc,True,True
Amine Bohi,True,True
Amélia Durbec,True,True
Andrei Bursuc,True,True
Antoine Laurent,True,True
Antonella del Pozzo,True,True
Antonio Casares,True,True
Antonis Achilleos,True,True
Arnaud Durand,True,True
Arnaud Gaillard,True,True
Arnaud Labourel,True,True
Arthur Cartel Foahom Gouabou,True,True
Arun Kumar Das,True,True
Audrey Minghelli,True,True
Augustin C. Ogier,True,True
Auriane Boudin,True,True
Aurélien Arnaubec,True,True
Axel Haddad,True,True
Azam Fazel Najafabadi,True,True
Aziz Naamane,True,True
B. Baret,True,True
B. Belhorma,True,True
B. Caiffi,True,True
B. Jisse-Jung,True,True
B. Martino,True,True
Badreddine Farah,True,True
Basile Couëtoux,True,True
Bastien Mérigot,True,True
Bastien Rivier,True,True
Belaid Benhamou,True,True
Benjamin Deneu,True,True
Benjamin Monmege,True,True
Benoît Favre,True,True
Bernard Espinasse,True,True
Bertrand Estellon,True,True
Bin Liang,True,True
Bruno Pradines,True,True
Bénédicte Madon,True,True
C. Distefano,True,True
C. Donzaud,True,True
C. Guidi,True,True
C. Pellegrino,True,True
Catherine Cadet,True,True
Chloé Clavel,True,True
Christiane Weber,True,True
Christophe Benzitoun,True,True
Christophe Bérenguer,True,True
Christophe Delacourt,True,True
Christophe Lett,True,True
Christopher Cieri,True,True
Chu Wang,True,True
Chu-Min Li,True,True
Claire Dune,True,True
Clara Bertolissi,True,True
Clément Rambaud,True,True
Clémentin Boittiaux,True,True
Cornel Ioana,True,True
Cristèle Chevalier,True,True
Cécile Capponi,True,True
Cédric de Lacroix,True,True
D. Calvo,True,True
D. Dornic,True,True
D. Drouhin,True,True
