annee,n_hal,n_openalex,n_doi,n_titre,n_avec_doi,n_sans_doi,taux_global,taux_doi,taux_titre
2015,11683,5347,5347,0,5402,6281,45.8,99.0,0.0
2016,11924,5624,5624,0,5705,6219,47.2,98.6,0.0
2017,11763,5616,5616,0,5695,6068,47.7,98.6,0.0
2018,11787,5939,5939,0,6015,5772,50.4,98.7,0.0
2019,11582,6283,6283,0,6354,5228,54.2,98.9,0.0
2020,10085,5982,5982,0,6060,4025,59.3,98.7,0.0
2021,10839,6395,6395,0,6480,4359,59.0,98.7,0.0
2022,10874,5935,5935,0,6026,4848,54.6,98.5,0.0
2023,10656,5819,5819,0,5896,4760,54.6,98.7,0.0
2024,10464,5484,5484,0,5574,4890,52.4,98.4,0.0
2025,8430,3933,3933,0,4128,4302,46.7,95.3,0.0
