laboratoire,n_hal,n_openalex,n_doi,n_titre,n_avec_doi,n_sans_doi,taux_global,taux_doi,taux_titre
CMP,14,13,11,2,11,3,92.9,100.0,66.7
RELAX,31,24,24,0,26,5,77.4,92.3,0.0
MDLS,370,282,282,0,282,88,76.2,100.0,0.0
IDRIS,36,24,24,0,24,12,66.7,100.0,0.0
CROSSING (IRL),158,104,104,0,104,54,65.8,100.0,0.0
HEUDIASYC,1854,1133,1131,2,1168,686,61.1,96.8,0.3
IRIF,1604,948,948,0,1006,598,59.1,94.2,0.0
L2S,5618,3293,3280,13,4144,1474,58.6,79.2,0.9
LMF,658,382,382,0,398,260,58.1,96.0,0.0
JFLI,179,101,101,0,104,75,56.4,97.1,0.0
VERIMAG,630,342,342,0,347,283,54.3,98.6,0.0
LMF-LSV,1204,652,652,0,703,501,54.2,92.7,0.0
IPAL (IRL),237,120,120,0,125,112,50.6,96.0,0.0
LIRMM,4111,2046,2046,0,2694,1417,49.8,75.9,0.0
LIGM,2295,1135,1135,0,1528,767,49.5,74.3,0.0
ETIS,1603,758,758,0,863,740,47.3,87.8,0.0
LIPN,1161,545,545,0,605,556,46.9,90.1,0.0
CREATIS,3413,1602,1602,0,2060,1353,46.9,77.8,0.0
LAMSADE,1893,882,882,0,1167,726,46.6,75.6,0.0
LIX,2710,1255,1242,13,1587,1123,46.3,78.3,1.2
CRIL,814,377,377,0,394,420,46.3,95.7,0.0
LS2N,7376,3408,3400,8,4239,3137,46.2,80.2,0.3
G-SCOP,2085,961,959,2,1045,1040,46.1,91.8,0.2
ISIR,2255,993,993,0,1284,971,44.0,77.3,0.0
LIRIS,4256,1864,1864,0,2230,2026,43.8,83.6,0.0
LIS,3755,1634,1632,2,2043,1712,43.5,79.9,0.1
LAMIH,3573,1481,1475,6,2199,1374,41.4,67.1,0.4
CRAN,4051,1658,1314,344,2447,1604,40.9,53.7,21.4
LAB-STICC,6822,2595,2594,1,3513,3309,38.0,73.8,0.0
LIMOS,3184,1209,1207,2,1680,1504,38.0,71.8,0.1
TIMA,1430,537,537,0,633,797,37.6,84.8,0.0
IRISA,11742,4302,4301,1,5747,5995,36.6,74.8,0.0
LORIA,6390,2315,2283,32,2864,3526,36.2,79.7,0.9
ICUBE,8267,2975,2972,3,4649,3618,36.0,63.9,0.1
LIG,5250,1842,1840,2,2252,2998,35.1,81.7,0.1
TIMC IMAG,3442,1197,1197,0,2564,878,34.8,46.7,0.0
LABRI,5014,1745,1745,0,2237,2777,34.8,78.0,0.0
GREYC,2128,739,739,0,909,1219,34.7,81.3,0.0
DI ENS,2543,867,867,0,1088,1455,34.1,79.7,0.0
LIP,2576,868,867,1,1277,1299,33.7,67.9,0.1
LIP6,5820,1943,1943,0,3132,2688,33.4,62.0,0.0
LAAS,6760,2153,2148,5,3484,3276,31.8,61.7,0.2
LISN,6500,1903,1903,0,3349,3151,29.3,56.8,0.0
CRISTAL,7208,2090,2077,13,3280,3928,29.0,63.3,0.3
STMS,1721,489,489,0,534,1187,28.4,91.6,0.0
GIPSA-Lab,5268,1420,1408,12,3019,2249,27.0,46.6,0.5
I3S,3718,996,995,1,1779,1939,26.8,55.9,0.1
ROOT (IRL),120,32,32,0,32,88,26.7,100.0,0.0
IRIT,7715,2014,2014,0,3737,3978,26.1,53.9,0.0
FILOFOCS (UMI),1,0,0,0,0,1,0.0,,0.0
