langue,n_hal,n_openalex,n_doi,n_titre,n_avec_doi,n_sans_doi,taux_global,taux_doi,taux_titre
br,1,1,1,0,1,0,100.0,100.0,
tr,1,1,1,0,1,0,100.0,100.0,
en,104012,60983,60983,0,61871,42141,58.6,98.6,0.0
hu,2,1,1,0,1,1,50.0,100.0,0.0
es,63,19,19,0,19,44,30.2,100.0,0.0
de,11,3,3,0,3,8,27.3,100.0,0.0
pt,73,17,17,0,19,54,23.3,89.5,0.0
uk,5,1,1,0,1,4,20.0,100.0,0.0
ru,25,5,5,0,5,20,20.0,100.0,0.0
ja,7,1,1,0,2,5,14.3,50.0,0.0
it,33,4,4,0,5,28,12.1,80.0,0.0
zh,10,1,1,0,2,8,10.0,50.0,0.0
fr,15447,1289,1289,0,1373,14074,8.3,93.9,0.0
und,390,31,31,0,32,358,7.9,96.9,0.0
pl,1,0,0,0,0,1,0.0,,0.0
mk,1,0,0,0,0,1,0.0,,0.0
sq,1,0,0,0,0,1,0.0,,0.0
id,2,0,0,0,0,2,0.0,,0.0
ko,2,0,0,0,0,2,0.0,,0.0
