type_doc,n_hal,n_openalex,n_doi,n_titre,n_avec_doi,n_sans_doi,taux_global,taux_doi,taux_titre
ART,38460,28848,28848,0,35297,3163,75.0,81.7,0.0
COUV,3563,1768,1768,0,2146,1417,49.6,82.4,0.0
PROCEEDINGS,1035,457,456,1,554,481,44.2,82.3,0.2
ISSUE,340,149,149,0,183,157,43.8,81.4,0.0
NOTICE,30,12,12,0,15,15,40.0,80.0,0.0
COMM,55427,19994,19987,7,24170,31257,36.1,82.7,0.0
OUV,1107,328,328,0,378,729,29.6,86.8,0.0
TRAD,29,7,7,0,8,21,24.1,87.5,0.0
UNDEFINED,4210,477,476,1,606,3604,11.3,78.5,0.0
OTHER,946,91,91,0,121,825,9.6,75.2,0.0
SOFTWARE,397,28,28,0,34,363,7.1,82.4,0.0
POSTER,2828,185,185,0,258,2570,6.5,71.7,0.0
PRESCONF,164,6,6,0,10,154,3.7,60.0,0.0
REPORT,2214,77,77,0,95,2119,3.5,81.1,0.0
LECTURE,154,4,4,0,7,147,2.6,57.1,0.0
VIDEO,79,2,2,0,2,77,2.5,100.0,0.0
BLOG,92,2,2,0,6,86,2.2,33.3,0.0
HDR,587,2,2,0,4,583,0.3,50.0,0.0
MAP,9,0,0,0,0,9,0.0,,0.0
PATENT,506,0,0,0,0,506,0.0,,0.0
SON,27,0,0,0,1,26,0.0,0.0,0.0
SYNTHESE,4,0,0,0,0,4,0.0,,0.0
THESE,8126,3,3,0,6,8120,0.0,50.0,0.0
IMG,2,0,0,0,0,2,0.0,,0.0
MEM,209,0,0,0,1,208,0.0,0.0,0.0
